Key;Type;Desc;English;Vietnamese [vi]
Story/Temperance/Voiceline/Sparrow2_2;Text;;No easy task. But it has been done. In theory.;Không phải việc dễ dàng. Nhưng nó đã được thực hiện. Về mặt lý thuyết.
Story/Temperance/Voiceline/Sparrow2_3;Text;;Yet we do not have the people to construct anything but a basic prototype. ;Nhưng chúng tôi không có đủ người để xây dựng bất cứ thứ gì ngoài một nguyên mẫu cơ bản.
Story/Temperance/Voiceline/Sparrow2_4;Text;;It can be built for real, I know it! We just need more people.;Nó có thể được xây dựng thật sự, tôi biết điều đó! Chúng tôi chỉ cần thêm người.
Story/Temperance/Voiceline/Sparrow2_5;Text;;There’s a place where the rafters live in peace with any survivors of the old world. They call it Utopia. ;Có một nơi mà những người lái bè sống trong hòa bình cùng bất kỳ người sống sót nào của thế giới cũ. Họ gọi đó là Utopia.
Story/Temperance/Voiceline/Sparrow2_6;Text;;Maybe there we can begin to reverse the damage we’ve done. But we received a message from them yesterday. ;Có lẽ ở đó chúng tôi có thể bắt đầu khắc phục những thiệt hại đã gây ra. Nhưng hôm qua chúng tôi nhận được một thông điệp từ họ.
Story/Temperance/Voiceline/Sparrow2_7;Text;;One of the ‘investors’ has taken control of the community. Olof Wilkstrom.;Một trong các 'nhà đầu tư' đã chiếm quyền kiểm soát cộng đồng. Olof Wilkstrom.
Story/Temperance/Voiceline/Sparrow2_8;Text;;I fear his intentions with this potential Haven.;Tôi lo sợ về ý đồ của hắn với Haven tiềm năng này.
Story/Utopia/Captives;Text;;"FROM THE PEOPLE OF UTOPIA

Do NOT trust Olof Wilkstrom. When he arrived here we took his word in good faith. He exploited us at every turn. Now all of us ‘dissenters’ are locked up. Which is everyone, by my count.

To anyone reading this, Olof should be up in the marketplace. BEWARE of his rabid beasts! Please, take the master key from him. Set us free! Set Utopia FREE!
~Hanne, Utopia Representative";"TỪ NGƯỜI DÂN UTOPIA

Đừng tin Olof Wilkstrom. Khi hắn đến đây chúng tôi đã tin lời hắn với thiện chí. Hắn đã lợi dụng chúng tôi ở mọi ngã rẽ. Giờ tất cả chúng tôi, những 'kẻ bất đồng', đều bị nhốt lại. Mà theo tôi đếm thì đó là tất cả mọi người.

Ai đọc được điều này, Olof chắc đang ở khu chợ. HÃY CẨN THẬN với lũ thú dữ của hắn! Làm ơn, hãy lấy chìa khóa vạn năng từ hắn. Giải phóng chúng tôi! Giải phóng Utopia!
~Hanne, Đại diện Utopia"
Story/Utopia/DettoRaft;Text;;"DETTO'S UTOPIA JOURNAL -SUPER SECRET-

I have my own raft! And it’s hooked up to actual wind turbines! If I had even more power, just imagine all the experiments I could run… 

But now that lunatic Olof appeared.  His cages are already unloaded and now he’s promising to help everyone with his ‘army’. 

Last I saw him, Olof Wilkstrom ruined Caravan Town. I will NEVER forgive him! I hope Hanne and Ruben listen to me. He is not to be trusted!

Just in case I’ve decided to up the security on my raft. This map should allow only the SMARTEST of people to enter!

Like me!";"NHẬT KÝ UTOPIA CỦA DETTO -SIÊU MẬT-

Con có bè riêng rồi! Và nó được nối với những tua bin gió thật sự! Nếu con có nhiều điện hơn nữa, cứ tưởng tượng bao nhiêu thí nghiệm con có thể chạy được...

Nhưng giờ tên điên Olof đó xuất hiện. Lồng của hắn đã được dỡ xuống rồi và giờ hắn hứa sẽ giúp mọi người bằng 'đội quân' của hắn.

Lần cuối con thấy hắn, Olof Wilkstrom đã phá hủy Caravan Town. Con sẽ KHÔNG BAO GIỜ tha thứ cho hắn! Con mong Hanne và Ruben nghe lời con. Không được tin hắn!

Để phòng hờ con đã quyết định tăng cường an ninh cho bè của mình. Bản đồ này chỉ nên cho phép người THÔNG MINH NHẤT vào thôi!

Như con!"
Story/Utopia/EndSlides;Text;;"When the ocean itself broke the Forward Scouts, the survivors were left with nothing.

Yet they persisted, rose up from nothing, defied our flooded world, and brought back hope.

Now Utopia stands free once again thanks to their actions.

With this final chance we can begin the slow and difficult road to recovery.

From today on, we are all Forward Scouts, ready to discover the next step for humanity.";"Khi chính đại dương đánh gục các Trinh Sát Tiên Phong, những người sống sót chẳng còn lại gì.

Vậy mà họ vẫn kiên trì, vươn lên từ đống đổ nát, thách thức thế giới ngập nước của chúng ta, và mang hy vọng trở lại.

Giờ Utopia đứng vững tự do một lần nữa nhờ hành động của họ.

Với cơ hội cuối cùng này, chúng ta có thể bắt đầu con đường chậm rãi và khó khăn để hồi phục.

Từ hôm nay, tất cả chúng ta đều là Trinh Sát Tiên Phong, sẵn sàng khám phá bước tiếp theo cho nhân loại."
Story/Utopia/Voiceline/AnnisaDialogue1;Text;;That was so scary!;Chuyện đó thật đáng sợ!
Story/Utopia/Voiceline/AnnisaDialogue2;Text;;I'm still a bit in shock.;Tôi vẫn còn hơi sốc.
Story/Utopia/Voiceline/AnnisaDialogue3;Text;;Good job dealing with that Olof fellow.;Làm tốt lắm khi xử lý tên Olof đó.
Story/Utopia/Voiceline/AnnisaDialogue4;Text;;Let’s make sure it doesn’t happen again, okay?;Hãy đảm bảo chuyện đó không xảy ra nữa nhé?
Story/Utopia/Voiceline/BrunoDialogue1;Text;;This Olof fellow doesn’t seem like the nicest type.;Tên Olof này có vẻ không phải loại người tử tế.
Story/Utopia/Voiceline/BrunoDialogue10;Text;;I heard Hanne is organizing new ‘scouts’ for something. Maybe I’ll go? I could look for Astrid.;Tôi nghe nói Hanne đang tổ chức các 'trinh sát' mới cho việc gì đó. Có lẽ tôi sẽ đi? Tôi có thể tìm Astrid.
Story/Utopia/Voiceline/BrunoDialogue11;Text;;I don’t like being alone. But sometimes all these people is a bit much.;Tôi không thích ở một mình. Nhưng đôi khi quá nhiều người cũng hơi nhiều.
Story/Utopia/Voiceline/BrunoDialogue12;Text;;At night I like looking out at the ocean. Suddenly I don’t feel so lonely anymore.;Ban đêm tôi thích nhìn ra đại dương. Bỗng nhiên tôi không còn thấy cô đơn nữa.
Story/Utopia/Voiceline/BrunoDialogue13;Text;;Hanne says if you like yourself you’ll never be lonely. I wonder if I can learn to do that.;Hanne nói nếu bạn yêu bản thân mình thì sẽ không bao giờ cô đơn. Tôi tự hỏi liệu mình có học được điều đó không.
Story/Utopia/Voiceline/BrunoDialogue14_1;Text;;Maybe I’ll go back to Balboa one day. Why? I… think I left someone behind. ;Có lẽ một ngày nào đó tôi sẽ về lại Balboa. Tại sao à? Tôi... nghĩ tôi đã bỏ lại ai đó.
Story/Utopia/Voiceline/BrunoDialogue14_2;Text;;Several someones, in fact.;Thực ra là vài người.
Story/Utopia/Voiceline/BrunoDialogue15;Text;;It was a long journey to get here. But look at this place! So many people!;Đó là một chuyến đi dài để đến được đây. Nhưng nhìn nơi này xem! Bao nhiêu là người!
Story/Utopia/Voiceline/BrunoDialogue16;Text;;Life here is not so bad. I will show Astrid one day.;Cuộc sống ở đây không tệ lắm. Tôi sẽ cho Astrid xem một ngày nào đó.
Story/Utopia/Voiceline/BrunoDialogue17;Text;;That kid Detto has so many new ideas. I can’t wrap my head around them! I’ll stick to my radios.;Cậu nhóc Detto đó có quá nhiều ý tưởng mới. Tôi không thể hiểu nổi! Tôi sẽ bám vào mấy cái radio của mình thôi.
Story/Utopia/Voiceline/BrunoDialogue18;Text;;Astrid was the bear expert. I was the radio guy. That’s how we split the workload.;Astrid là chuyên gia về gấu. Tôi là người phụ trách radio. Đó là cách chúng tôi chia công việc.
Story/Utopia/Voiceline/BrunoDialogue19_1;Text;;Hanne and Ruben said I did some great things to their radio setup. ;Hanne và Ruben nói tôi đã làm được vài điều tuyệt vời với hệ thống radio của họ.
Story/Utopia/Voiceline/BrunoDialogue19_2;Text;;I wouldn’t call it great, but it’s nice to be able to help.;Tôi sẽ không gọi nó là tuyệt vời đâu, nhưng thật tốt khi có thể giúp đỡ.
Story/Utopia/Voiceline/BrunoDialogue2;Text;;Thank you for letting us out! It was getting cramped in there.;Cảm ơn đã thả chúng tôi ra! Trong đó chật chội quá.
Story/Utopia/Voiceline/BrunoDialogue20_1;Text;;Honestly, I don’t miss the bears. Pretty happy that there aren’t any here.;Thành thật mà nói, tôi không nhớ mấy con gấu chút nào. Khá vui vì ở đây không có con nào.
Story/Utopia/Voiceline/BrunoDialogue20_2;Text;;Wouldn’t that be weird though? Bears in a skyscraper? Haha. You haven’t seen any have you?;Nhưng chẳng phải sẽ kỳ lạ sao? Gấu trong một tòa nhà chọc trời? Haha. Bạn chưa thấy con nào chứ?
Story/Utopia/Voiceline/BrunoDialogue21_1;Text;;Temperance was a strange island. Just abandoned.;Temperance là một hòn đảo kỳ lạ. Chỉ toàn bị bỏ hoang.
Story/Utopia/Voiceline/BrunoDialogue21_2;Text;;Hanne thinks we’ll go back there soon. Give everything another go.;Hanne nghĩ chúng tôi sẽ sớm quay lại đó. Thử lại mọi thứ một lần nữa.
Story/Utopia/Voiceline/BrunoDialogue3;Text;;You haven’t met a woman called Astrid, have you? No? If you do, let me know.;Bạn chưa gặp một người phụ nữ tên Astrid chứ? Chưa à? Nếu gặp, hãy cho tôi biết.
Story/Utopia/Voiceline/BrunoDialogue4;Text;;I miss Henry. He always knew what to say.;Tôi nhớ Henry. Cậu ấy luôn biết nói gì.
Story/Utopia/Voiceline/BrunoDialogue5;Text;;Miranda went her own way. I’m sure she’s alright out there, somewhere. Hopefully not alone.;Miranda đã đi con đường riêng của mình. Tôi chắc cô ấy vẫn ổn ở đâu đó ngoài kia. Mong là không cô đơn.
Story/Utopia/Voiceline/BrunoDialogue6;Text;;I’m just going to focus on finding Astrid now.;Giờ tôi chỉ tập trung tìm Astrid thôi.
Story/Utopia/Voiceline/BrunoDialogue7;Text;;My sister is out there somewhere, I know it!;Chị tôi đang ở đâu đó ngoài kia, tôi biết mà!
Story/Utopia/Voiceline/BrunoDialogue8;Text;;You were on Balboa? The bears weren’t too much of a hassle, I hope.;Bạn từng ở Balboa à? Mong là mấy con gấu không gây quá nhiều rắc rối.
Story/Utopia/Voiceline/BrunoDialogue9;Text;;You’ve been to Temperance too? You must really like bears.;Bạn cũng từng đến Temperance? Chắc bạn thực sự thích gấu lắm.
Story/Utopia/Voiceline/Captives_1;Text;;FROM THE PEOPLE OF UTOPIA;TỪ NGƯỜI DÂN UTOPIA
Story/Utopia/Voiceline/Captives_2;Text;;Do NOT trust Olof Wilkstrom. When he arrived here we took his word in good faith.;Đừng tin Olof Wilkstrom. Khi hắn đến đây chúng tôi đã tin lời hắn với thiện chí.
Story/Utopia/Voiceline/Captives_3;Text;;He exploited us at every turn. Now all of us ‘dissenters’ are locked up.;Hắn đã lợi dụng chúng tôi ở mọi ngã rẽ. Giờ tất cả chúng tôi, những 'kẻ bất đồng', đều bị nhốt lại.
Story/Utopia/Voiceline/Captives_4;Text;;Which is everyone, by my count. To anyone reading this, Olof should be up in the marketplace.;Mà theo tôi đếm thì đó là tất cả mọi người. Ai đọc được điều này, Olof chắc đang ở khu chợ.
Story/Utopia/Voiceline/Captives_5;Text;;BEWARE of his rabid beasts! Please, take the master key from him.;HÃY CẨN THẬN với lũ thú dữ của hắn! Làm ơn, hãy lấy chìa khóa vạn năng từ hắn.
Story/Utopia/Voiceline/Captives_6;Text;;Set us free! Set Utopia FREE!;Giải phóng chúng tôi! Giải phóng Utopia!
Story/Utopia/Voiceline/CitraDialogue1;Text;;The turbines are still working, wonderful.;Tua bin vẫn hoạt động, tuyệt vời.
Story/Utopia/Voiceline/CitraDialogue2;Text;;Ruben went to check up on the systems straight away.;Ruben đã đi kiểm tra hệ thống ngay lập tức.
Story/Utopia/Voiceline/CitraDialogue3;Text;;Without him we’d still be using candles every night.;Không có anh ấy chúng tôi vẫn sẽ phải dùng nến mỗi đêm.
Story/Utopia/Voiceline/CitraDialogue4;Text;;It would be nice if we had a proper reactor, like on Tangaroa.;Sẽ tốt nếu chúng tôi có một lò phản ứng thực sự, như ở Tangaroa.
Story/Utopia/Voiceline/CitraDialogue5;Text;;Maybe one day.;Có lẽ một ngày nào đó.
Story/Utopia/Voiceline/DettoDialogue1;Text;;No one ever listens to me. Maybe they’ll listen after this!;Chẳng ai từng nghe lời tôi cả. Có lẽ họ sẽ nghe sau vụ này!
Story/Utopia/Voiceline/DettoDialogue10_1;Text;;Hanne promised me I would get to experiment on the water system!;Hanne hứa với tôi rằng tôi sẽ được thử nghiệm trên hệ thống nước!
Story/Utopia/Voiceline/DettoDialogue10_2;Text;;As long as I promise to not break anything. And remember how to put it back together.;Miễn là tôi hứa không làm hỏng gì cả. Và nhớ cách lắp nó lại.
Story/Utopia/Voiceline/DettoDialogue10_3;Text;;And remember how to make it work again.;Và nhớ cách làm cho nó hoạt động lại.
Story/Utopia/Voiceline/DettoDialogue11_1;Text;;Hanne says there is a lot of stuff on the bottom of the ocean. ;Hanne nói có rất nhiều thứ dưới đáy đại dương.
